1000,0.007674042,0.800412291
1000,0.007698819,0.832657231
1000,0.007573535,0.827484426
1000,0.007306954,0.802857573
1000,0.007347662,0.827856162
1000,0.007388774,0.798971102
1000,0.00764155,0.792990819
1000,0.007667417,0.828347528
1000,0.007627925,0.802589112
1000,0.007372957,0.792305248
5000,0.028787233,4.002047912
5000,0.028569259,3.97381254
5000,0.028665029,3.979057408
5000,0.029261393,4.068890605
5000,0.029932856,4.111156642
5000,0.031864392,4.049270364
5000,0.028635897,4.050925662
5000,0.028460884,4.137013616
5000,0.029725902,4.075872131
5000,0.028550342,4.075645404
10000,0.055520815,8.034544019
10000,0.054269395,8.081462377
10000,0.056115476,7.936057894
10000,0.056838461,7.964958872
10000,0.054045967,8.025212615
10000,0.056516947,7.952556502
10000,0.054190423,7.914444393
10000,0.053879868,7.905763634
10000,0.056385978,8.118095194
10000,0.054000211,7.995149345
15000,0.082592834,12.192319018
15000,0.079577307,11.933493278
15000,0.079416061,11.977008022
15000,0.079375004,12.094206316
15000,0.083220148,11.95233942
15000,0.079061896,11.949626443
15000,0.07940465,12.022854484
15000,0.079220615,12.065064395
15000,0.080747273,11.954256634
15000,0.082681449,12.081446531
25000,0.129368453,19.831772916
25000,0.129607764,19.833553357
25000,0.129790691,19.992963034
25000,0.129706055,19.986496529
25000,0.130108635,20.047569614
25000,0.129451841,20.133351259
25000,0.130004513,20.120361453
25000,0.134640457,19.787969487
25000,0.135254579,20.092449164
25000,0.134901904,19.862320407
