Kawata PME,6,32,1000,207.133573560960031,4.972147042000000
Kawata PME,6,32,1000,207.133573560879654,5.009915113000000
Kawata PME,6,32,1000,207.133573559881711,5.278984266999999
Kawata PME,6,32,1000,207.133573558732138,5.232982265000000
Kawata PME,6,32,1000,207.133573558652870,5.241998306999999
Kawata PME,6,32,1000,207.133573557762816,5.162980712000000
Kawata PME,6,32,1000,207.133573563096093,6.418938626000000
Kawata PME,6,32,1000,207.133573559990793,7.860937712000000
Kawata PME,6,32,1000,207.133573560479988,7.381944246000000
Kawata PME,6,32,1000,207.133573558743592,6.975941621000000
Kawata PME,6,32,1000,207.133573562921526,4.925945413000000
Kawata PME,6,32,1000,207.133573560436332,3.480946356000000
Kawata PME,6,32,1000,207.133573559625574,5.186935131999999
Kawata PME,6,32,1000,207.133573562644074,5.164945053000000
Kawata PME,6,32,1000,207.133573560266967,5.245940861000000
Kawata PME,6,32,1000,207.133573560778586,5.043498037000000
Kawata PME,6,32,1000,207.133573562828474,4.985939407000000
Kawata PME,6,32,1000,207.133573562260011,5.078942482000000
Kawata PME,6,32,1000,207.133573563431412,4.987939313000000
Kawata PME,6,32,1000,207.133573563481946,5.085988077000000
Kawata PME,6,32,1000,207.133573560503010,5.018995939000000
Kawata PME,6,32,1000,207.133573562071660,5.101999326000000
Kawata PME,6,32,1000,207.133573560078048,5.112942681000000
Kawata PME,6,32,1000,207.133573560679821,4.941944386000000
Kawata PME,6,32,1000,207.133573560111927,4.947528916000000
Kawata PME,6,32,1000,207.133573558303596,5.040357966000000
Kawata PME,6,32,1000,207.133573561809868,5.066941457000000
Kawata PME,6,32,1000,207.133573562086667,5.179942652000000
Kawata PME,6,32,1000,207.133573561074883,5.020998207000001
Kawata PME,6,32,1000,207.133573561084233,5.062944889000000
Kawata PME,6,32,2000,1101.374823071812898,5.177727290000000
Kawata PME,6,32,2000,1101.374823065877763,5.006971435000001
Kawata PME,6,32,2000,1101.374823037929900,5.030966539000000
Kawata PME,6,32,2000,1101.374823088791118,5.081997759999999
Kawata PME,6,32,2000,1101.374823074775804,4.998944286000000
Kawata PME,6,32,2000,1101.374823025618980,4.943943250000000
